,Alimento,Proteinas,Grasas,Carbohidratos,Horario,Ingredientes,Horario_1,Horario_2,Calorias_Total_100g,Image_url
117,Avena y pan integral con palta,8.17,8.73,44.13,Desayuno-Cena,AVENA-PAN-PALTA,Desayuno,Cena,287.77,https://img-global.cpcdn.com/recipes/3707428dfe611178/680x482cq70/desayuno-saludable-a-base-de-quaker-con-manzanas-y-pan-y-palta-foto-principal.jpg
118,Jugo natural de naranja y pan integral con queso,9.1,9.77,21.56,Desayuno-Cena,NARANJA-PAN-QUESO,Desayuno,Cena,210.57,https://st.depositphotos.com/3398631/4683/i/450/depositphotos_46834977-stock-photo-ham-pineapple-and-cheese-toast.jpg
119,Yogurt y croquetas de atún  y mandarina,9.0,4.5,4.43,Desayuno-Cena,YOGURT-ATUN-MANDARINA,Desayuno,Cena,94.22,https://img-global.cpcdn.com/recipes/dd3ba4eac07fe9ec/400x400cq70/photo.jpg
120,Jugo natural de maracuya y pan de maiz con palta,3.43,7.1,26.13,Desayuno-Cena,MARACUYA-PAN-PALTA,Desayuno,Cena,182.14,https://quinoa.com.pe/wp-content/uploads/2020/05/sandwich-y-maracu-540x270.jpg
121,Leche evaporada y pan de yema con palta,5.8,9.43,23.97,Desayuno-Cena,LECHE-PAN-PALTA,Desayuno,Cena,203.95,https://img-global.cpcdn.com/recipes/dfb17743c9ae7d75/680x482cq70/pan-casero-con-palta-foto-principal.jpg
122,Jugo natural de naranja y pan de molde con palta,3.07,5.07,26.9,Desayuno-Cena,NARANJA-PAN-PALTA,Desayuno,Cena,165.51,https://quinoa.com.pe/wp-content/uploads/2020/05/sandwich-y-maracu-540x270.jpg
123,Yogurt y pan integral con palta,4.77,8.27,21.93,Desayuno-Cena,YOGURT-PAN-PALTA,Desayuno,Cena,181.23,https://img-global.cpcdn.com/recipes/dfb17743c9ae7d75/680x482cq70/pan-casero-con-palta-foto-principal.jpg
124,Quinua y pan de yema con palta,8.23,8.8,42.53,Desayuno-Cena,QUINUA-PAN-PALTA,Desayuno,Cena,282.24,https://img-global.cpcdn.com/recipes/dfb17743c9ae7d75/680x482cq70/pan-casero-con-palta-foto-principal.jpg
125,Avena y pan de maiz con palta y naranja,5.93,6.53,35.93,Cena-Desayuno,AVENA-PAN-PALTA-NARANJA,Cena,Desayuno,226.21,https://img-global.cpcdn.com/recipes/3707428dfe611178/680x482cq70/desayuno-saludable-a-base-de-quaker-con-manzanas-y-pan-y-palta-foto-principal.jpg
126,Yogurt y pan integral con queso y platano de seda,8.55,5.1,20.45,Cena-Desayuno,YOGURT-PAN-QUESO-PLATANO,Cena,Desayuno,161.9,https://i.pinimg.com/564x/88/6a/4f/886a4ffe40c3f5edefca16d4ae471b4b.jpg
127,Yogurt y galleta de avena y uva blanca,5.81,2.72,28.19,Cena-Desayuno,YOGURT-AVENA-UVA,Cena,Desayuno,160.48,https://www.lavanguardia.com/files/image_449_220/uploads/2018/01/18/5fa438e863c71.jpeg
128,Quinua y pan integral con pavita y platano isla,9.95,6.53,33.15,Cena-Desayuno,QUINUA-PAN-PAVITA-PLATANO,Cena,Desayuno,231.17,https://walac.pe/wp-content/uploads/2019/06/quinua-con-pl%C3%A1tano.jpg
129,Jugo natural de naranja y pan de maiz con jamonada,6.67,10.33,21.08,Cena-Desayuno,NARANJA-PAN-JAMONADA,Cena,Desayuno,203.97,https://us.123rf.com/450wm/dzevoniia/dzevoniia1702/dzevoniia170200925/71776685-s%C3%A1ndwich-de-chiabatta-con-jam%C3%B3n-queso-pepino-y-lechuga-taza-de-caf%C3%A9-y-jugo-de-naranja-para-el-desayu.jpg
130,Jugo natural de maracuya y pan de maiz con jamonada,6.72,10.3,23.63,Cena-Desayuno,MARACUYA-PAN-JAMONADA,Cena,Desayuno,214.1,https://us.123rf.com/450wm/dzevoniia/dzevoniia1702/dzevoniia170200925/71776685-s%C3%A1ndwich-de-chiabatta-con-jam%C3%B3n-queso-pepino-y-lechuga-taza-de-caf%C3%A9-y-jugo-de-naranja-para-el-desayu.jpg
131,Leche evaporada y pan de maiz con pulpa de pollo,12.26,6.6,22.13,Cena-Desayuno,LECHE-PAN-POLLO,Cena,Desayuno,196.96,https://us.123rf.com/450wm/markstout/markstout1309/markstout130900232/22662151-un-s%C3%A1ndwich-de-pollo-en-un-pan-en-la-merienda-despu%C3%A9s-de-la-escuela-con-la-leche.jpg
132,Leche evaporada y pan de yema con queso fresco y naranja,8.45,9.03,19.93,Cena-Desayuno,LECHE-PAN-QUESO-NARANJA,Cena,Desayuno,194.79,https://www.vanguardia.com/binrepository/716x477/0c0/0d0/none/12204/LDSC/DATA_ART_480067_BIG_CE_VL221475_MG20175322.jpg
133,Jugo natural de cocona y pan de maiz con huevo duro sancochado y manzana,5.2,4.68,18.03,Cena-Desayuno,COCONA-PAN-HUEVO-MANZANA,Cena,Desayuno,135.04,https://1.bp.blogspot.com/-5T_9jAFgzI0/UvEzqaDYQtI/AAAAAAAACZw/i2NXJX4sIwU/s900/Imagen1.jpg
134,Quinua y pan de yema con atún y mandarina,10.5,6.83,29.88,Cena-Desayuno,QUINUA-PAN-ATUN-MANDARINA,Cena,Desayuno,222.99,https://thumbs.dreamstime.com/b/rodajas-de-mandarina-hervida-quinoa-con-mandarinas-en-cuchara-la-mesa-rebanadas-quinua-trozos-sobre-madera-210764995.jpg
135,Jugo natural de granadilla y pan de maiz con pavita y huevo sancochado,10.5,6.7,16.0,Cena-Desayuno,GRANADILLA-PAN-PAVO-HUEVO,Cena,Desayuno,166.3,https://us.123rf.com/450wm/nataliaspb/nataliaspb1301/nataliaspb130100156/17477610-pan-con-huevo-y-jugo-de-naranja.jpg
136,Quinua con trozos de piña y pan con mantequilla ,4.97,29.03,25.5,Cena-Desayuno,QUINUA-PIÑA-MANTEQUILLA,Cena,Desayuno,383.15,https://i.ytimg.com/vi/bwKsFAkkYrs/hqdefault.jpg
137,Avena y pan de maiz con palta y trozos de papaya,5.88,6.5,35.45,Cena-Desayuno,AVENA-PAN-PALTA-PAPAYA,Cena,Desayuno,223.82,https://www.malenanutricion.com/wp-content/uploads/2019/11/avena-con-papaya-2.jpg
138,Jugo natural de naranja y pan integral con huevo sancochado y mandarina,5.81,4.85,17.5,Cena-Desayuno,NARANJA-PAN-HUEVO-MANDARINA,Cena,Desayuno,136.89,https://1.bp.blogspot.com/-5T_9jAFgzI0/UvEzqaDYQtI/AAAAAAAACZw/i2NXJX4sIwU/s900/Imagen1.jpg
139,Yogurt y croquetas de atún  y trozos de papaya,8.93,4.43,4.3,Cena-Desayuno,YOGURT-ATUN-PAPAYA,Cena,Desayuno,92.79,http://lh3.googleusercontent.com/-rCRnp8evZRU/VcsAnRcvDII/AAAAAAAAEP0/Dubsjxz_50Y/s900/blogger-image-2030699456.jpg
140,Jugo natural de naranja y pan de tres granos con palta y mango,2.85,3.85,16.98,Cena-Desayuno,NARANJA-PAN-PALTA-MANGO,Cena,Desayuno,113.97,https://quinoa.com.pe/wp-content/uploads/2020/05/sandwich-y-maracu-540x270.jpg
141,Leche evaporada y pan de yema con pavita y manzana,9.1,5.98,20.23,Cena-Desayuno,LECHE-PAN-PAVO-MANZANA,Cena,Desayuno,171.14,https://thumbs.dreamstime.com/b/desayuno-saludable-manzana-vidrio-de-leche-y-pan-por-la-ma%C3%B1ana-161169226.jpg
